2020-10-29 01:45:00,035 INFO [xxl-rpc, EmbedServer bizThreadPool-1273106650] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:3, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@407a8b77
2020-10-29 01:45:00,060 INFO [xxl-rpc, EmbedServer bizThreadPool-1273106650] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:2, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@4ebd7d08
2020-10-29 01:46:33,068 INFO [Thread-656] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-656,10,main]
2020-10-29 01:46:35,520 INFO [Thread-653] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-653,10,main]
2020-10-29 01:50:00,035 INFO [xxl-rpc, EmbedServer bizThreadPool-620963403] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:3, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@58755355
2020-10-29 01:50:00,078 INFO [xxl-rpc, EmbedServer bizThreadPool-620963403] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:2, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@56b2a62b
2020-10-29 01:51:33,088 INFO [Thread-662] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-662,10,main]
2020-10-29 01:51:35,788 INFO [Thread-659] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-659,10,main]
2020-10-29 01:55:00,076 INFO [xxl-rpc, EmbedServer bizThreadPool-83404477] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:2, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@2bc3dca4
2020-10-29 01:55:00,101 INFO [xxl-rpc, EmbedServer bizThreadPool-83404477] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:3, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@250437ac
